Costa  Babyccino Skimmed ,,Costa,Beverages,Solo,,42,2.1,0.1,8.3,7.5,,0.1,,,,,
Costa  Babyccino Soya ,,Costa,Beverages,Solo,,47,2,1,7.3,6.5,,0.2,,,,,
 Bacardi cocktail ,,Cocktails,Alcoholic,1,63,117,0,0,6,,,0,0,11,,2,
Starbucks  Bacon Egg & Gouda Artisan Breakfast Sandwich,,Starbucks,Branded,1 serving,,350,17,18,30,,0,,,,,,
Lays  Baked Cream Herb and Onion,Potato chips,Lays,Branded,100 g ,100,459,7.4,15.4,72.7,9.4,,,,729,,,
Lays  Baked Original Salted,Potato chips,Lays,Branded,100 g ,100,459,7.4,15.4,72.7,10.5,,,,607,,,
Pizza hut  Baked Pasta,,Pizza hut,Branded,1 serving,,152.9,8.1,4.8,19.3,2.7,,2.7,,0.2,,,
Lays  Baked Sunkissed Tomato Flavour,Potato chips,Lays,Branded,100 g ,100,459,7.4,15.4,72.7,8.7,,,,661,,,
Starbucks  Banana Chocolate Chip Muffin,,Starbucks,Branded,1 serving,,410,5,21,55,,2,,,,,,
Starbucks  Banana Loaf,,Starbucks,Branded,1 serving,,430,6,17,63,,3,,,,,,
Pizza hut  Banofee Pie,,Pizza hut,Branded,1 serving,110,441.85,4.01,16.13,56.47,39.2,,,,208.12,,,
McDonalds  Barbecue Sauce,,McDonalds,Branded,1 serving,25,50,0,0,12,7,0,0,,210,,,
Starbucks  Bear Claw,,Starbucks,Branded,1 serving,,350,7,8,62,,1,,,,,,
Beef tallow semisolid,0,Fats & Oils,Ingredient,1 tbsp,13,115,0,13,0,0,0,6.37,14,0,,,
Costa  Belgian Chocolate Creamy Cooler Full Fat ,,Costa,Beverages,Small,,371,5.7,18.5,44.9,41.7,,11.7,,,,,
Costa  Belgian Chocolate Creamy Cooler Full Fat ,,Costa,Beverages,Medium,,497,7.5,23.2,63.9,59.4,,14.6,,,,,
Costa  Belgian Chocolate Creamy Cooler Skimmed ,,Costa,Beverages,Small,,333,5.8,14.1,45.2,42.1,,8.9,,,,,
Costa  Belgian Chocolate Creamy Cooler Skimmed ,,Costa,Beverages,Medium,,448,7.7,17.4,64.4,59.9,,11,,,,,
Costa  Belgian Chocolate Creamy Cooler Soya ,,Costa,Beverages,Small,,346,5.7,16.4,42.7,39.5,,9.2,,,,,
Costa  Belgian Chocolate Creamy Cooler Soya ,,Costa,Beverages,Medium,,464,7.5,20.4,61.1,56.4,,11.3,,,,,
Costa  Belgian Chocolate Teacake ,,Costa,Branded,1 serving,,399,4.7,18.6,52.4,42.7,,11,,,,,
Pizza hut  Berrilicious smoothie,,Pizza hut,Beverages,1 serving,238,145.18,2.62,3.57,25.23,10.95,,2.62,,0.03,,,
Pizza hut  Berry vanilla shake,,Pizza hut,Branded,1 serving,272,252.96,5.44,7.89,40.26,31.01,,5.63,,0.06,,,
McDonalds  BigSpicy Paneer Wrap,,McDonalds,Branded,1 serving,272,808,24,51,62,6,5,24.1,,1830,,,
Lehar  Bikaneri Bhuja,Indian namkeen,Lehar,Branded,100 g ,100,627,11.8,49.5,33.6,1,,,,1000,,,
Starbucks  Birthday Cake Pop,,Starbucks,Branded,1 serving,,170,1,9,22,,0,,,,,,
McDonalds  Black coffee,,McDonalds,Beverages,1 serving,200,7,0,0,1.9,0,0,0,,-,,,
McDonalds  Black Tea,,McDonalds,Beverages,1 serving,200,0,0,0,,0,0,0,,-,,,
Dukes  Blue Lagoon Flavour (Party Mix),,Dukes,Beverages,100 g ,100,40,,,9.9,0,,,,,,,
Starbucks  Blueberry Bar,,Starbucks,Branded,1 serving,,380,5,19,50,,4,,,,,,
Costa  Blueberry Muffin ,,Costa,Branded,1 serving,,447,5.5,21.8,56.8,29.5,,2.5,,,,,
Starbucks  Blueberry Scone,,Starbucks,Branded,1 serving,,460,7,22,61,,2,,,,,,
KFC  Boneless Chicken Strips (regular size - 3 pcs),,KFC,Branded,1 serving,138,353.7,32.14,17.48,16.93,,,7.31,,0.76,,,
Papa Johns  Breadstic ks,,Papa Johns,Branded,1 serving
(1.9 oz),55,140,4,2,26,,,,,,,,
Costa  British Bacon with Lettuce and Tomato ,,Costa,Branded,1 serving,,397,21.2,13.8,46.2,5.1,,2.8,,,,,
Costa  British Ham & Cheese Croissant ,,Costa,Branded,1 serving,,341,12.1,19.3,28.8,3.4,,12.4,,,,,
Costa  British Ham & Cheese Toastie ,,Costa,Branded,1 serving,,311,16.5,6,46.6,1.4,,3.5,,,,,
KFC  Brownie Sundae ,,KFC,Branded,1 serving,215,479,8.99,17.65,71.06,,,11.55,,0.24,,,
Butter,,Bread Spreads,Everyday meal,.5 cup,105,102,2,4.2,11,,0,2.9,,172,,,
Butter,0,Bread Spreads,Everyday meal,1 tbsp,15,108,1,12,0.1,0,0,6.13,32,86,,,
Starbucks  Butter Croissant,,Starbucks,Branded,1 serving,,250,3,14,25,,1,,,,,,
Costa  Butter Croissant ,,Costa,Branded,1 serving,,261,5.1,16.2,23.3,4.5,,10.8,,,,,
Starbucks  Buttermilk Blueberry Muffin,,Starbucks,Branded,1 serving,,380,5,18,50,,2,,,,,,
Caesar salad dressing,0,Salad dressing,Everyday meal,2 tbsp,30,158,1,17,1,0,0.1,2.64,1,323,,,
Costa  Caffé Caramella Full Fat ,,Costa,Beverages,Small,,162,6.4,6.5,19.8,19.4,,4,,,,,
Costa  Caffé Caramella Full Fat ,,Costa,Beverages,Medium,,244,9.9,10.1,28.6,28,,6.3,,,,,
Costa  Caffé Caramella Full Fat ,,Costa,Beverages,Large,,305,12.3,12.6,36,35.2,,7.8,,,,,
Costa  Caffé Caramella Skimmed ,,Costa,Beverages,Small,,112,6.6,0.7,20.3,19.8,,0.2,,,,,
Costa  Caffé Caramella Skimmed ,,Costa,Beverages,Medium,,164,10.1,0.8,29.4,28.8,,0.4,,,,,
Costa  Caffé Caramella Skimmed ,,Costa,Beverages,Large,,205,12.6,1,37,36.2,,0.5,,,,,
Costa  Caffé Caramella Soya ,,Costa,Beverages,Small,,129,6.4,3.6,17,16.4,,0.6,,,,,
Costa  Caffé Caramella Soya ,,Costa,Beverages,Medium,,190,9.9,5.6,24.1,23.2,,0.9,,,,,
Costa  Caffé Caramella Soya ,,Costa,Beverages,Large,,238,12.3,7,30.4,29.2,,1.1,,,,,
Costa  Caffé Latte Full Fat ,,Costa,Beverages,Small,,128,6.7,7.2,9.6,9.4,,4.5,,,,,
Costa  Caffé Latte Full Fat ,,Costa,Beverages,Medium,,201,10.4,11.1,15.1,14.7,,7,,,,,
Costa  Caffé Latte Full Fat ,,Costa,Beverages,Large,,259,13.5,14.4,19.5,19,,9,,,,,
Costa  Caffé Latte Skimmed ,,Costa,Beverages,Small,,70,6.9,0.3,10.2,10,,0.2,,,,,
Costa  Caffé Latte Skimmed ,,Costa,Beverages,Medium,,109,10.7,0.5,16,15.6,,0.3,,,,,
Costa  Caffé Latte Skimmed ,,Costa,Beverages,Large,,141,13.9,0.7,20.7,20.1,,0.4,,,,,
Costa  Caffé Latte Soya ,,Costa,Beverages,Small,,89,6.7,3.8,6.3,5.9,,0.6,,,,,
Costa  Caffé Latte Soya ,,Costa,Beverages,Medium,,140,10.4,6,9.9,9.2,,0.9,,,,,
Costa  Caffé Latte Soya ,,Costa,Beverages,Large,,180,13.5,7.7,12.8,11.9,,1.2,,,,,
Costa  Cappuccino Full Fat ,,Costa,Beverages,Small,,106,5.3,5.5,9.1,8.6,,3.4,,,,,
Costa  Cappuccino Full Fat ,,Costa,Beverages,Medium,,163,8.2,8.7,13.4,12.8,,5.4,,,,,
Costa  Cappuccino Full Fat ,,Costa,Beverages,Large,,204,10.4,10.9,16.6,15.8,,6.7,,,,,
Costa  Cappuccino Skimmed ,,Costa,Beverages,small,,63,5.4,0.5,9.5,9.1,,0.2,,,,,
Costa  Cappuccino Skimmed ,,Costa,Beverages,medium,,94,8.5,0.6,14.1,13.5,,0.3,,,,,
Costa  Cappuccino Skimmed ,,Costa,Beverages,large,,118,10.7,0.8,17.5,16.7,,0.4,,,,,
